"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cvm.sb.resource.ThreadedQueue.doWait()","51.529797","5761.08 ms","8"
"cvm.sb.resource.ThreadedQueue.run()","34.64105","3872.902 ms","3"
"cvm.sb.expression.ValueEvaluator.evaluate(cvm.sb.expression.ContextProvider, sb.base.common.ExpressionValue)","6.310957","705.571 ms","12"
"cvm.sb.expression.ConditionEvaluator.evaluate(java.util.Collection, java.util.Collection)","1.0728084","119.941 ms","8"
"cvm.sb.expression.ValueEvaluator.getParams(cvm.sb.expression.ContextProvider, java.util.Collection)","0.85837376","95.967 ms","20"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.flush()","0.63444006","70.931 ms","10494"
"cvm.sb.expression.ValueEvaluator.getValue(cvm.sb.expression.ContextProvider, sb.base.common.Value)","0.5273211","58.955 ms","41"
"cvm.sb.resource.bridge.CallExecutor.execute(String, java.util.Map)","0.48648065","54.389 ms","12"
"cvm.sb.resource.bridge.CallExecutor.areParamsEquiv(java.lang.reflect.Method, cvm.sb.adapters.Call, java.util.Map)","0.40979972","45.816 ms","12"
"cvm.sb.expression.CombinationEvaluator.evaluateExpression(String, java.util.Map)","0.37225085","41.618 ms","2"
"cvm.sb.expression.CombinationEvaluator.evaluate(String, java.util.Map, java.util.List)","0.34715268","38.812 ms","14"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.doCall(java.lang.reflect.Method)","0.3092192","34.571 ms","551"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.write(int)","0.17434557","19.492 ms","10410"
"cvm.sb.expression.ContextBinder.$getStaticMetaClass()","0.16567838","18.523 ms","8"
"cvm.sb.emf.HandlerFactory$this$2$createActionInstance.callCurrent(groovy.lang.GroovyObject, Object)","0.14747639","16.488 ms","3"
"cvm.sb.resource.bridge.CallExecutor.getMethod(String, java.util.Map)","0.13545503","15.144 ms","11"
"cvm.sb.expression.ValueEvaluator.class$(String)","0.12874667","14.394 ms","8"
"cvm.sb.expression.CombinationEvaluator$_evaluate_closure1.doCall(cvm.sb.expression.ContextProvider)","0.115034804","12.861 ms","6"
"cvm.sb.expression.ValueEvaluator.evaluate(cvm.sb.expression.ContextProvider, sb.base.common.ParameterValue)","0.11339796","12.678 ms","30"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.writeNext(int)","0.11015112","12.315 ms","10413"
