"Hot Spots - Method","Self time [%]","Self time","Invocations"
"edu.fiu.strg.ACSTF.manager.mape.Analyzer.doFunction()","20.088636","12628.077 ms","39135"
"edu.fiu.strg.ACSTF.manager.mape.Monitor.init()","18.065987","11356.603 ms","5420104"
"edu.fiu.strg.ACSTF.manager.mape.AbstractFunction.run()","15.920119","10007.672 ms","4"
"cvm.ncb.csm.ThreadedQueue.doWait()","12.679346","7970.464 ms","7"
"cvm.ncb.csm.ThreadedQueue.run()","7.5626435","4754.013 ms","3"
"cvm.ncb.csm.BridgeExecutor.getMethod(String, java.util.Map)","6.0626354","3811.081 ms","38777"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.doCall(java.lang.reflect.Method)","5.510772","3464.17 ms","216051"
"edu.fiu.strg.ACSTF.manager.mape.Monitor.doFunction()","3.6900573","2319.636 ms","5420105"
"edu.fiu.strg.ACSTF.manager.knowledge.Mapping.booleanEqualsMapping(Object)","2.0414405","1283.286 ms","39135"
"cvm.ncb.csm.BridgeExecutor.areParamsEquiv(java.lang.reflect.Method, cvm.ncb.adapters.Method, java.util.Map)","1.3960515","877.583 ms","38778"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.lockData()","1.3027278","818.918 ms","5459240"
"cvm.ncb.csm.BridgeExecutor.execute(String, java.util.Map)","1.265465","795.494 ms","38779"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.unlockData()","1.0582677","665.246 ms","5459239"
"edu.fiu.strg.ACSTF.touchpoint.AbstractTouchPoint.getState()","0.7989432","502.23 ms","5420104"
"cvm.ncb.csm.BridgeExecutor.orderParameters(java.lang.reflect.Method, java.util.Map)","0.3309546","208.044 ms","38777"
"cvm.ncb.adapters.Method$parameters.call(Object)","0.3113656","195.73 ms","348976"
"cvm.ncb.csm.BridgeExecutor$orderParameters.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.20778282","130.616 ms","38777"
"cvm.ncb.tpm.Touchpoint.checkFrameworkForFailure()","0.18484838","116.199 ms","39136"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.<init>(Object, Object, groovy.lang.Reference, groovy.lang.Reference)","0.18320668","115.167 ms","38777"
"cvm.ncb.repository.loader.FilePolicyLoader.getPolicyDocument(java.io.File)","0.1418111","89.145 ms","20"
"cvm.ncb.repository.loader.FilePolicyLoader.load(java.io.File)","0.12927249","81.263 ms","18"
"edu.fiu.strg.ACSTF.manager.knowledge.Symptom.isSatisfied(Object)","0.11390703","71.604 ms","39135"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$get$$class$cvm$ncb$adapters$Method()","0.092030466","57.852 ms","432102"
"cvm.ncb.tpm.Touchpoint.hasFailed()","0.07980683","50.168 ms","39136"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$getCallSiteArray()","0.061546132","38.689 ms","254830"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.flush()","0.054817084","34.459 ms","7113"
"edu.fiu.strg.ACSTF.manager.knowledge.Mapping.isTypeBoolean()","0.052889045","33.247 ms","39135"
"cvm.ncb.csm.BridgeExecutor.executeBoolean(String, java.util.Map)","0.05189957","32.625 ms","38768"
"cvm.ncb.csm.BridgeExecutor.$getCallSiteArray()","0.042925917","26.984 ms","232661"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.write(int)","0.042284828","26.581 ms","7077"
"cvm.ncb.tpm.Touchpoint.updateFailedTable(String, Boolean)","0.041257177","25.935 ms","38767"
"cvm.ncb.csm.BridgeExecutor$execute.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.039637752","24.917 ms","38767"
"cvm.ncb.csm.BridgeExecutor.$getStaticMetaClass()","0.037090894","23.316 ms","38779"
"cvm.ncb.csm.BridgeExecutor.<init>(Object)","0.03391408","21.319 ms","38779"
"cvm.ncb.adapters.Mock2Adapter.$getCallSiteArray()","0.02590604","16.285 ms","37992"
"cvm.ncb.csm.ManagedObject.getName()","0.023659842","14.873 ms","38774"
"cvm.ncb.oem.pe.actions.SendSchemaAction.sendSchemaToCommObj(String, Object, Object, cvm.ncb.csm.ManagedObject)","0.023583483","14.825 ms","2"
"cvm.ncb.csm.BridgeExecutor.<clinit>","0.022816721","14.343 ms","1"
"edu.fiu.strg.ACSTF.manager.knowledge.Mapping.isSatisfied(Object)","0.02100481","13.204 ms","39135"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.getStateManager()","0.02092368","13.153 ms","39141"
"cvm.ncb.csm.BridgeExecutor.$get$$class$java$lang$String()","0.020906182","13.142 ms","155098"
"cvm.ncb.csm.BridgeExecutor$getMethod.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.01780891","11.195 ms","38777"
"cvm.ncb.csm.BridgeExecutor.$get$$class$cvm$ncb$adapters$Method()","0.0164806","10.36 ms","77554"
"cvm.ncb.adapters.MockAdapter.login()","0.01479277","9.299 ms","2"
"cvm.ncb.adapters.Mock2Adapter.hasMediumFailed(String, String)","0.014404617","9.055 ms","37991"
"cvm.ncb.csm.BridgeExecutor.$get$$class$java$lang$Class()","0.011192809","7.036 ms","77549"
"cvm.ncb.csm.ManagedObject.executeBoolean(String, java.util.Map)","0.011176901","7.026 ms","38768"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.writeNext(int)","0.009232954","5.804 ms","7079"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.write(byte[], int, int)","0.009113644","5.729 ms","146"
"cvm.ncb.oem.pe.PolicyEvalManager.execute(cvm.ncb.oem.pe.Call)","0.008696857","5.467 ms","7"
"cvm.ncb.csm.BridgeExecutor.$get$$class$java$lang$reflect$Method()","0.005028492","3.161 ms","77556"
"cvm.ncb.csm.AbstractTouchpoint.enqueue(cvm.ncb.oem.pe.Call)","0.004958497","3.117 ms","9"
"cvm.ncb.repository.loader.FilePolicyLoader.loadFeatures(org.w3c.dom.Element, cvm.ncb.oem.policy.Feature)","0.00458307","2.881 ms","18"
"cvm.ncb.oem.policy.PolicyManager.buildDesiredFeatureList(String, String, java.util.Map)","0.0033963397","2.135 ms","2"
"cvm.ncb.csm.BridgeExecutor.$get$$class$java$lang$Thread()","0.00325635","2.047 ms","38778"
"cvm.ncb.csm.ManagedObject.execute(String, java.util.Map)","0.0031847646","2.002 ms","11"
"cvm.ncb.oem.pe.actions.LoginAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","0.002785476","1.751 ms","1"
"cvm.ncb.csm.BridgeExecutor.$get$$class$cvm$ncb$csm$BridgeExecutor()","0.0027218442","1.711 ms","38782"
"cvm.model.CVM_Debug.printDebugMessage(String)","0.0025309492","1.591 ms","34"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.enqueueChangeRequest(edu.fiu.strg.ACSTF.manager.knowledge.ChangeRequest)","0.0024768624","1.557 ms","1"
"cvm.ncb.ks.StateManager.createConnection(String)","0.0013601268","0.855 ms","1"
"cvm.ncb.adapters.MockAdapter.$getCallSiteArray()","0.001312403","0.825 ms","788"
"cvm.ncb.repository.loader.FilePolicyLoader.getAllPolicies()","8.367563E-4","0.526 ms","2"
"cvm.ncb.oem.pe.actions.MediumAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","6.4267975E-4","0.404 ms","2"
"cvm.ncb.oem.policy.PolicyManager.reduceSet(java.util.TreeSet, java.util.Iterator)","5.997284E-4","0.377 ms","6"
"cvm.ncb.oem.pe.PolicyEvalManager.findConformingObject(String, String, java.util.Map)","5.6950335E-4","0.358 ms","2"
"cvm.ncb.ks.ObjectManager.getAvailableObjects()","5.5518624E-4","0.349 ms","2"
"cvm.ncb.repository.loader.FilePolicyLoader.isPolicyFile(String)","5.26552E-4","0.331 ms","20"
"cvm.ncb.repository.FilePolicyRepository.load(String, String)","4.995085E-4","0.314 ms","2"
