"Hot Spots - Method","Self time [%]","Self time","Invocations"
"edu.fiu.strg.ACSTF.manager.mape.Analyzer.doFunction()","20.96066","13011.186 ms","34681"
"edu.fiu.strg.ACSTF.manager.mape.Monitor.init()","19.509857","12110.609 ms","6732510"
"edu.fiu.strg.ACSTF.manager.mape.AbstractFunction.run()","15.363786","9536.964 ms","4"
"cvm.ncb.csm.ThreadedQueue.doWait()","12.665442","7861.986 ms","7"
"cvm.ncb.csm.ThreadedQueue.run()","7.497591","4654.078 ms","3"
"cvm.ncb.csm.BridgeExecutor.getMethod(String, java.util.Map)","6.766685","4200.373 ms","34509"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.doCall(java.lang.reflect.Method)","5.342067","3316.051 ms","191435"
"edu.fiu.strg.ACSTF.manager.knowledge.Mapping.booleanEqualsMapping(Object)","2.5920174","1608.977 ms","34681"
"edu.fiu.strg.ACSTF.manager.mape.Monitor.doFunction()","2.3206701","1440.54 ms","6732510"
"cvm.ncb.csm.BridgeExecutor.areParamsEquiv(java.lang.reflect.Method, cvm.ncb.adapters.Method, java.util.Map)","2.134561","1325.014 ms","34510"
"cvm.ncb.csm.BridgeExecutor.execute(String, java.util.Map)","1.0603565","658.209 ms","34510"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.unlockData()","0.6706655","416.311 ms","6767192"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.lockData()","0.628806","390.327 ms","6767191"
"edu.fiu.strg.ACSTF.touchpoint.AbstractTouchPoint.getState()","0.44101337","273.756 ms","6732511"
"cvm.ncb.tpm.Touchpoint.checkFrameworkForFailure()","0.19190547","119.124 ms","34681"
"cvm.ncb.csm.BridgeExecutor.orderParameters(java.lang.reflect.Method, java.util.Map)","0.18492673","114.792 ms","34508"
"cvm.ncb.csm.BridgeExecutor$orderParameters.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.18066733","112.148 ms","34508"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.<init>(Object, Object, groovy.lang.Reference, groovy.lang.Reference)","0.17257863","107.127 ms","34509"
"cvm.ncb.adapters.Method$parameters.call(Object)","0.16796482","104.263 ms","310560"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$get$$class$cvm$ncb$adapters$Method()","0.10048601","62.376 ms","382870"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$getCallSiteArray()","0.09839175","61.076 ms","225946"
"cvm.ncb.repository.loader.FilePolicyLoader.getPolicyDocument(java.io.File)","0.09828704","61.011 ms","20"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.flush()","0.06943291","43.1 ms","7105"
"cvm.ncb.csm.BridgeExecutor.<init>(Object)","0.060930196","37.822 ms","34510"
"cvm.ncb.csm.BridgeExecutor$getMethod.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.053806476","33.4 ms","34509"
"edu.fiu.strg.ACSTF.manager.knowledge.Symptom.isSatisfied(Object)","0.046648927","28.957 ms","34681"
"cvm.ncb.csm.BridgeExecutor.$getCallSiteArray()","0.04224292","26.222 ms","207050"
"cvm.ncb.csm.BridgeExecutor.executeBoolean(String, java.util.Map)","0.040390298","25.072 ms","34499"
